# File: ADAGE_gdp.csv
# Title: GDP by 8 ADAGE regions (2010-2050)
# Units: billion 2010$
# Column types: cccnnnnnnnnn
# ----------
ADAGE_region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050
USA,GDP,Billion 2010$,17063.206,19431.889,22312.047,24788.851,28451.349,32259.384,35296.629,40391.999,45129.211
BRA,GDP,Billion 2010$,1147.724,1404.871,1695.733,1966.37,2287.136,2660.483,3087.263,3639.733,4240.009
CHN,GDP,Billion 2010$,3838.715,5483.179,7593.199,10045.167,13046.077,16128.754,18705.778,20522.026,22510.133
EUR,GDP,Billion 2010$,18900.281,20250.064,22381.433,24798.173,26960.327,29211.268,32070.359,34401.616,37017.31
XLM,GDP,Billion 2010$,1408.706,1636.174,1939.422,2312.613,2621.25,2979.424,3425.885,3782.565,4263.187
XAS,GDP,Billion 2010$,11965.785,13763.668,16056.791,18189.271,21121.234,24709.062,29816.623,34469.347,39457.592
AFR,GDP,Billion 2010$,1321.041,1570.517,2013.046,2542.862,3166.276,3987.545,4927.196,6112.975,7545.221
ROW,GDP,Billion 2010$,5635.685,6718.109,7827.641,9671.196,11117.737,12651.46,14593.765,16486.068,18487.207
