# File: OTAQ_land_protection_L3_IUCN1_2.csv
# Title: land protection fractions by GCAM water basin
# Units: Percent
# Source: OTAQ (Diana Galperin)
# Column types: iccccicnnn
# ----------
GCAM_basin_ID,Basin_name,GLU_code,GLU_name,ISO,ISO_NUM,Country_name,Basin area (Sq. Meters),Suitable Area (Sq. Meters),Percent Suitable
176,Solomon_Islands,GLU176,SolomonIsl,SLB,90,Solomon Islands,"23,275,486,510.55","20,866,015,255.70",89.65%
177,Madasgacar,GLU177,Madasgacar,MDG,450,Madagascar,"600,588,768,388.52","580,566,646,440.00",96.67%
178,Sepik,GLU178,SepikR,PNG,598,Papua New Guinea,"82,987,083,931.61","76,803,525,088.30",92.55%
179,Rift_Valley,GLU179,RiftValley,ETH,231,Ethiopia,"633,841,893,092.34","504,390,321,023.00",79.58%
180,Peru_Pacific_Coast,GLU180,PeruCst,PER,604,Peru,"299,983,112,434.70","113,871,721,207.00",37.96%
181,Fly,GLU181,FlyR,PNG,598,Papua New Guinea,"64,406,389,205.70","56,620,965,182.50",87.91%
182,Angola_Coast,GLU182,AngolaCst,AGO,24,Angola,"502,445,584,805.32","454,014,145,265.00",90.36%
183,Congo,GLU183,CongoR,COD,180,"Congo, The Democratic Republic of the","3,730,987,228,003.13","3,481,864,882,790.00",93.32%
184,Australia_North_Coast,GLU184,AusCstN,AUS,36,Australia,"1,687,253,341,557.87","1,508,477,330,210.00",89.40%
185,South_Pacific_Islands,GLU185,NewCaledn,NCL,540,New Caledonia,"63,337,475,570.66","53,600,887,616.00",84.63%
186,East_Brazil_South_Atlantic_Coast,GLU186,BrzCstE,BRA,76,Brazil,"282,805,974,043.43","277,070,398,630.00",97.97%
187,Parnaiba,GLU187,ParnaibaR,BRA,76,Brazil,"333,383,782,238.00","311,078,831,359.00",93.31%
188,Zambezi,GLU188,ZambeziR,ZMB,894,Zambia,"1,383,545,425,806.66","1,232,187,760,400.00",89.06%
189,Australia_East_Coast,GLU189,AusCstE,AUS,36,Australia,"731,142,180,027.69","622,609,481,050.00",85.16%
190,Africa_Indian_Ocean_Coast,GLU190,AfrCstSE,MOZ,508,Mozambique,"242,446,898,937.00","236,312,239,146.00",97.47%
191,Australia_West_Coast,GLU191,AusCstW,AUS,36,Australia,"741,144,358,217.22","539,813,669,297.00",72.84%
192,Sao_Francisco,GLU192,SaoFrancR,BRA,76,Brazil,"641,120,388,320.00","607,740,525,669.00",94.79%
193,Australia_Interior,GLU193,AusInt,AUS,36,Australia,"3,061,662,539,491.90","1,535,434,028,430.00",50.15%
194,Orange,GLU194,OrangeR,ZAF,710,South Africa,"994,427,204,910.94","676,631,092,951.00",68.04%
195,Uruguay_Brazil_South_Atlantic_Coast,GLU195,BrzCstS,BRA,76,Brazil,"823,531,524,199.99","777,030,363,373.00",94.35%
196,Namibia_Coast,GLU196,AfrCstSW,NAM,516,Namibia,"262,203,482,212.02","93,973,712,750.70",35.84%
