# File: A271.freight_coef.csv
# Title: Coefficients of freight inputs to energy and ag commodities
# Units: million tkm per EJ = ton-meters per GJ
# Comments: price-unit-conversion takes into account the following:
#  (1) transportation output unit is 1e6 times the price unit denominator whereas all other sectors are 1e9.
#  (2) transportation price unit is 1990$ whereas others are 1975$.
#  (3) trn_freight costs are 17x higher than rail mode (the dominant mode for some of these fuels). Some de-rating is appropriate.
# Note: the methods are not set up to handle different tkm inputs for different refined liquid fuel commodities (e.g., ref liq industrial, ref liq enduse need to have the same coef in each region)
# Column types: cccccnnnnnn
# ----------
region,supplysector,subsector,technology,minicam.energy.input,price.unit.conversion,1971,1990,2000,2010,2100
USA,traded corn,Africa_Southern traded corn,Africa_Southern traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,Argentina traded corn,Argentina traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Argentina traded corn,Argentina traded corn,trn_shipping_intl,0.00045208,1000,2000,2000,2000,2000
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,trn_shipping_intl,0.00045208,2500,2500,2500,2500,2500
USA,traded corn,Brazil traded corn,Brazil traded corn,trn_freight,3.62E-05,150,150,150,150,150
USA,traded corn,Brazil traded corn,Brazil traded corn,trn_shipping_intl,0.00045208,3000,3000,3000,3000,3000
USA,traded corn,Canada traded corn,Canada traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Canada traded corn,Canada traded corn,trn_shipping_intl,0.00045208,1000,1000,1000,1000,1000
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,Central Asia traded corn,Central Asia traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,China traded corn,China traded corn,trn_freight,3.62E-05,150,150,150,150,150
USA,traded corn,China traded corn,China traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,Colombia traded corn,Colombia traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Colombia traded corn,Colombia traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,EU-12 traded corn,EU-12 traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,EU-12 traded corn,EU-12 traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,EU-15 traded corn,EU-15 traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,EU-15 traded corn,EU-15 traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,Europe_Eastern traded corn,Europe_Eastern traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Europe_Eastern traded corn,Europe_Eastern traded corn,trn_shipping_intl,0.00045208,3000,0,3000,3000,3000
USA,traded corn,Europe_Non_EU traded corn,Europe_Non_EU traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,Europe_Non_EU traded corn,Europe_Non_EU traded corn,trn_shipping_intl,0.00045208,1500,1500,1500,1500,1500
USA,traded corn,European Free Trade Association traded corn,European Free Trade Association traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,European Free Trade Association traded corn,European Free Trade Association traded corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,traded corn,India traded corn,India traded corn,trn_freight,3.62E-05,50,50,50,50,50
USA,traded corn,India traded corn,India traded corn,trn_shipping_intl,0.00045208,3000,3000,3000,3000,3000
