# File: A261.globaltech_eff.csv
# Title: motor gasoline technology efficiency
# Units: Unitless out/in (passthrough)
# Column types: ccccnnn
# ----------
supplysector,subsector,technology,minicam.energy.input,1971,2005,2100
refined liquids gasoline pool,refining,refining,refining,1,1,1
refined liquids gasoline pool,ethanol,ethanol,ethanol,1,1,1
