# File: A271.freight_cost_adj.csv
# Title: revisions to non-energy costs to counter-balance transport costs explicitly included in LCA_inputs
# Units: 1975$/GJ
# Column types: cccccnn
# ----------
region,supplysector,subsector,technology,minicam.non.energy.input,1971,2100
India,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
India,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
Indonesia,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
Indonesia,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Indonesia,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Indonesia,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
Japan,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
Japan,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Japan,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Japan,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
Mexico,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
Mexico,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Mexico,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Mexico,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
Middle East,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
Middle East,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Middle East,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Middle East,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
Pakistan,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
Pakistan,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Pakistan,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Pakistan,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
Russia,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
Russia,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
Russia,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
Russia,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
South Africa,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
South Africa,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
South Africa,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
South Africa,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
South America_Northern,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
South America_Northern,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
South America_Northern,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
South America_Northern,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
South America_Southern,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
South America_Southern,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
South America_Southern,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
South America_Southern,refined liquids gasoline pool,ethanol,ethanol,non-energy,0.9,0.9
South Asia,refined liquids enduse,refined liquids enduse,refined liquids enduse,non-energy,0.9,0.9
South Asia,refined liquids industrial,refined liquids industrial,refined liquids industrial,non-energy,-0.2,-0.2
South Asia,refined liquids gasoline pool,refining,refining,non-energy,0.9,0.9
