# File: A54.OTAQ_trn_data.csv
# Title: OTAQ-specific assumptions to layer into UCD_trn_data_OTAQ.csv database
# Units: Various
# Column types: ccccccccnnnnnnnnnnn
# ----------
UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2010,2015,2020,2025,2030,2035,2050,2065,2080,2095
USA,Passenger,LDV_4W,Midsize Car,Hybrid Liquids,Liquids,Capital costs (purchase),2005$/veh,27955.2,27955.2,27955.2,26260,26260,26260,26260,26260,26260,26260,26260
USA,Passenger,LDV_4W,Large Car,Liquids,Liquids,Capital costs (purchase),2005$/veh,30464,30464,30464,30464,30464,30464,30464,30464,30464,30464,30464
USA,Passenger,LDV_4W,Large Car,Hybrid Liquids,Liquids,Capital costs (purchase),2005$/veh,36556.8,36556.8,36556.8,35628,35628,35628,35628,35628,35628,35628,35628
USA,Passenger,LDV_4W,Light Truck and SUV,Liquids,Liquids,Capital costs (purchase),2005$/veh,31360,31360,31360,31360,31360,31360,31360,31360,31360,31360,31360
USA,Passenger,LDV_4W,Light Truck and SUV,Hybrid Liquids,Liquids,Capital costs (purchase),2005$/veh,37632,37632,37632,38724,38724,38724,38724,38724,38724,38724,38724
USA,Passenger,LDV_4W,Compact Car,Liquids,Liquids,intensity,MJ/vkm,2.9139,2.806,2.455271,2.175768,1.777721667,1.688835584,1.671947228,1.655227756,1.638675478,1.622288723,1.606065836
USA,Passenger,LDV_4W,Compact Car,Hybrid Liquids,Liquids,intensity,MJ/vkm,2.1862,2.128166667,1.883821333,1.4142492,1.155519084,1.09774313,1.086765698,1.075898041,1.065139061,1.05448767,1.043942793
USA,Passenger,LDV_4W,Midsize Car,Liquids,Liquids,intensity,MJ/vkm,3.7279,3.589833333,3.141107667,2.783508,2.274295667,2.160580884,2.138975075,2.117585324,2.096409471,2.075445376,2.054690922
USA,Passenger,LDV_4W,Midsize Car,Hybrid Liquids,Liquids,intensity,MJ/vkm,2.7969,2.722633333,2.410013667,1.8092802,1.478292184,1.404377575,1.390333799,1.376430461,1.362666156,1.349039494,1.335549099
USA,Passenger,LDV_4W,Large Car,Liquids,Liquids,intensity,MJ/vkm,3.8682,3.724933333,3.259316667,2.888256,2.359898,2.2419031,2.219484069,2.197289228,2.175316336,2.153563173,2.132027541
USA,Passenger,LDV_4W,Large Car,Hybrid Liquids,Liquids,intensity,MJ/vkm,2.9022,2.825133333,2.500740667,1.8773664,1.5339337,1.457237015,1.442664645,1.428237998,1.413955618,1.399816062,1.385817902
USA,Passenger,LDV_4W,Light Truck and SUV,Liquids,Liquids,intensity,MJ/vkm,4.039,3.8894,3.403218,3.015768,2.464078667,2.340874734,2.317465986,2.294291326,2.271348413,2.248634929,2.22614858
USA,Passenger,LDV_4W,Light Truck and SUV,Hybrid Liquids,Liquids,intensity,MJ/vkm,3.0303,2.949866667,2.611184333,1.9602492,1.601651134,1.521568577,1.506352891,1.491289362,1.476376468,1.461612704,1.446996577
